id,title,type,topic,difficulty,body,url,estimated_minutes,lecture
1,What is an Operating System?,reading,OS Introduction,Easy,An OS manages hardware and software resources and provides a convenient environment to run programs by hiding hardware complexity. It acts as a resource manager.,,20,Unit-1
2,Why do we need an OS?,question,OS Introduction,Easy,"List three problems if there were no OS: bulky apps with hardware code, resource exploitation by one app, and no memory protection.",,25,Unit-1
3,OS goals and resource management,concept,OS Introduction,Easy,"Name two classic OS goals (e.g. maximum CPU utilization, less starvation).",,15,Unit-1
4,Batch vs multiprogramming OS,reading,Types of OS,Easy,Batch OS groups similar jobs; multiprogramming keeps multiple jobs in memory so CPU stays busy when one job waits on I/O.,,25,LEC-2
5,Multitasking vs multiprocessing,reading,Types of OS,Medium,"Multitasking: one CPU, time-sharing. Multiprocessing: multiple CPUs, better throughput and reliability.",,25,LEC-2
6,RTOS vs general-purpose OS,question,Types of OS,Medium,Give two examples of real-time systems and why timing guarantees matter.,,30,LEC-2
7,Program vs process vs thread,reading,Processes and Threads,Easy,Program: compiled code on disk. Process: program in execution in RAM. Thread: lightweight execution path within a process.,,25,LEC-3
8,Thread vs process context switch,reading,Processes and Threads,Medium,Thread switch saves PC/registers/stack within same address space; process switch also switches memory space and flushes cache.,,25,LEC-3
9,Multitasking vs multithreading,question,Processes and Threads,Medium,Compare isolation: processes have memory protection; threads in a process share memory.,,30,LEC-3
10,Kernel vs user space,reading,OS Architecture,Easy,Kernel interacts with hardware; user space runs applications via system calls without direct hardware access.,,20,LEC-4
11,Monolithic vs micro vs hybrid kernel,reading,OS Architecture,Medium,"Monolithic: all services in kernel (fast, less modular). Micro: minimal kernel, services in user space (modular, slower IPC). Hybrid: e.g. Windows, macOS.",,30,LEC-4
12,Kernel responsibilities,question,OS Architecture,Medium,"Name the four classic kernel functions: process, memory, file, and I/O management.",,25,LEC-4
13,What is a system call?,reading,OS Architecture,Easy,"A system call lets user programs request kernel services (files, processes, devices) via a controlled trap from user mode to kernel mode.",,20,LEC-5
14,System call categories,question,OS Architecture,Medium,"List five system call types: process control, file, device, information, communication.",,30,LEC-5
